sample,model,sim,nsim,inner,outer,fiber,master_fiber_index,fiberset_index,waveform_index,active_src_index,nerve_label,threshold,apnode,aptime,long_ap_pos,n_ap_sites,peak_second_diff,peak_second_diff_node,peri_thk,type,contact,pulse_width,fiber_diam
252,0,3,0,6,4,50,151,0,0,0,2L,2.664316,101,1.597,28675.417674458447,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,5,3,43,152,0,0,0,2L,2.979563,103,1.577,29108.306820323,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,44,153,0,0,0,2L,3.016224,103,1.444,29148.248098392425,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,45,154,0,0,0,2L,3.077326,103,1.59,29181.059425752355,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,46,155,0,0,0,2L,3.113988,103,1.429,29181.73527575593,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,47,156,0,0,0,2L,3.169897,103,1.475,29124.329090039017,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,48,157,0,0,0,2L,3.028445,103,1.648,29094.968509857852,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,4,3,55,158,0,0,0,2L,2.664316,102,1.512,28899.15541885885,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,5,3,49,159,0,0,0,2L,3.077326,103,1.539,29003.284651670103,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,4,3,56,160,0,0,0,2L,2.697634,102,1.455,28868.4999162665,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,57,161,0,0,0,2L,2.719846,101,1.431,28652.610287226296,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,5,3,50,162,0,0,0,2L,3.210237,102,1.597,28940.46882453197,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,4,3,58,163,0,0,0,2L,2.664316,102,1.463,28714.63165594636,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,6,4,51,164,0,0,0,2L,2.642104,101,1.672,28543.648534281456,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,52,165,0,0,0,2L,2.642104,101,1.451,28509.819181662955,1,,,31.005835457986624,2D,cathodic,,
